,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
55,0.0,0.0271484,1.61918e-14,0.376919,1.55063e-14,0.0064246,6.44632e-15,0.400979,1.31381e-15,0.255296,0.379845,0.237429,0.347317,0.236799,0.727341,0.253733,0.259195
56,0.0,0.0263535,8.20328e-15,0.397917,1.31131e-14,0.00631793,1.3617e-14,0.414713,8.40428e-15,0.259239,0.392754,0.242788,0.352508,0.242647,0.757386,0.25841,0.263024
57,0.0,0.0282426,4.27409e-15,0.4289925,4.238665e-15,0.0068200399999999994,1.36228e-14,0.443213,2.05484e-14,0.26382,0.406862,0.247707,0.356564,0.248017,0.785781,0.262244,0.270725
58,0.0,0.0279935,4.92042e-15,0.45964700000000003,2.31219e-15,0.0071297,9.50245e-15,0.45879,2.42787e-14,0.267049,0.419197,0.252032,0.360097,0.252689,0.811255,0.2660065,0.27808
59,0.0,0.0290771,3.58273e-15,0.481656,1.77071e-14,0.00744064,1.27634e-15,0.488904,1.45331e-14,0.268304,0.433638,0.255652,0.3658685,0.25653,0.839875,0.268064,0.278922
60,0.0,0.0311792,1.33298e-15,0.508975,9.88746e-16,0.008074379999999999,7.28762e-16,0.515984,1.8336e-14,0.269013,0.449571,0.258463,0.372065,0.259441,0.865951,0.268625,0.281008
61,0.0,0.0309347,3.01768e-15,0.527104,4.63389e-15,0.00828249,9.93068e-15,0.5478195,2.38879e-14,0.2695965,0.4676765,0.261075,0.377277,0.261392,0.9060465,0.269039,0.2839295
62,0.0,0.032298549999999995,1.24498e-15,0.5526,1.09041e-14,0.00873104,6.87283e-15,0.580448,5.5432e-15,0.270493,0.485992,0.262435,0.383044,0.262594,0.948546,0.269816,0.284307
63,0.0,0.0331701,1.161802e-14,0.57691,9.69565e-15,0.00929196,9.52576e-15,0.616936,7.35423e-16,0.271755,0.49657,0.262851,0.389767,0.263246,0.977419,0.271317,0.285565
64,0.0,0.0340437,5.89663e-15,0.6118925,2.25366e-14,0.00959057,9.285125000000001e-15,0.641992,1.01065e-14,0.273644,0.50664,0.263258,0.397404,0.263666,1.00485,0.273719,0.287761
65,0.0,0.0344905,9.76188e-15,0.64528,8.14719e-15,0.0101767,3.71653e-15,0.670119,9.78565e-15,0.27780499999999997,0.51687,0.26404,0.405708,0.264274,1.03772,0.277003,0.28973
66,0.0,0.0353627,6.06428e-15,0.669687,1.1735e-14,0.0108096,1.22754e-14,0.701373,8.072715e-15,0.283381,0.529513,0.265573,0.413606,0.265538,1.07167,0.28118,0.29159
67,0.0,0.0346541,7.21277e-15,0.695458,8.76527e-15,0.02843975,2.88575e-15,0.727099,4.68307e-15,0.28766,0.536644,0.267934,0.420998,0.269358,1.1026,0.286137,0.29529649999999996
68,0.0,0.0366772,9.25429e-15,0.722612,2.2979799999999998e-14,0.0335484,7.73038e-15,0.7774255000000001,2.30414e-14,0.2948235,0.545414,0.273045,0.428752,0.274976,1.1596199999999999,0.29437250000000004,0.301868
69,0.0,0.0363349,2.22584e-15,0.749173,2.050865e-14,0.040203,1.86901e-14,0.828436,1.75741e-14,0.302191,0.556323,0.279393,0.440622,0.279645,1.2179,0.302712,0.307649
70,0.0,0.0369376,7.723165e-15,0.778208,1.61609e-14,0.10566475,1.5488e-14,0.860538,1.49112e-15,0.306682,0.569216,0.284106,0.472976,0.284696,1.25747,0.307547,0.3161795
